type	time	latitude	longitude	name	id
T	2025-02-19 11:09:48	19.198138926	99.837729326		1062
T	2025-02-19 11:09:51	19.198167701	99.837501575		1063
T	2025-02-19 11:09:55	19.198194834	99.837137594		1064
T	2025-02-19 11:09:59	19.198200474	99.836847703		1065
T	2025-02-19 11:10:42	19.198119080	99.836676663		1066
T	2025-02-19 11:10:51	19.198056746	99.836591810		1067
T	2025-02-19 11:12:17	19.197995398	99.836583018		1068
T	2025-02-19 11:14:20	19.197984987	99.836588468		1069
T	2025-02-19 11:14:20	19.197586949	99.835246448		1070
T	2025-02-19 11:14:58	19.197968539	99.836616735		1071
T	2025-02-19 11:15:17	19.197997744	99.836653497		1072
T	2025-02-19 11:15:18	19.197997744	99.836653497		1073
T	2025-02-19 11:20:28	19.197996842	99.836653177		1074
T	2025-02-19 11:26:02	19.197968690	99.836638167		1075
T	2025-02-19 11:41:12	19.197955801	99.836630559		1076
T	2025-02-19 12:12:57	19.197945096	99.836635137		1077
T	2025-02-19 12:12:58	19.197995398	99.836583018		1078
T	2025-02-19 12:21:36	19.197945096	99.836635137		1079
T	2025-02-19 12:40:03	19.197955598	99.836631476		1080
T	2025-02-19 12:55:50	19.197955740	99.836631581		1081
T	2025-02-19 13:13:31	19.197955114	99.836631178		1082
T	2025-02-19 13:22:00	19.197945096	99.836635137		1083
T	2025-02-19 13:56:56	19.197942798	99.836646008		1084
